Раздел;Показатель;Значение
Основной расчет;Нагрузка на энергоблок, МВт;200.0
Основной расчет;КПД блока, %;35.798
Основной расчет;КПД ТЭС брутто, %;35.798
Основной расчет;Собственные нужды, МВт;20.0
Основной расчет;Собственные нужды, %;5.0
Основной расчет;КПД ТЭС нетто, %;34.008
Основной расчет;Удельный расход топлива, г у.т./кВт·ч;361.675

Температурный анализ;Температура, °C;КПД нетто, %;Расход топлива;Теплоотвод
Температурный анализ;-20.0;35.924;342.385;1.11163
Температурный анализ;-15.0;36.034;341.344;1.09654
Температурный анализ;-10.0;36.127;340.464;1.08145
Температурный анализ;-5.0;36.204;339.743;1.06636
Температурный анализ;0.0;36.264;339.178;1.05127
Температурный анализ;5.0;35.744;344.118;1.03618
Температурный анализ;10.0;35.223;349.203;1.02109
Температурный анализ;15.0;34.703;354.441;1.006
Температурный анализ;20.0;34.356;358.021;0.99594
Температурный анализ;25.0;34.008;361.675;0.98588
Температурный анализ;30.0;32.776;375.279;0.97582
Температурный анализ;35.0;31.561;389.721;0.96576
Температурный анализ;40.0;30.365;405.075;0.9557
