Раздел;Показатель;Значение
Основной расчет;Режим работы;summer
Основной расчет;Нагрузка на энергоблок, МВт;200.0
Основной расчет;КПД блока, %;35.082
Основной расчет;КПД ТЭС брутто, %;35.082
Основной расчет;Собственные нужды, МВт;26.0
Основной расчет;Собственные нужды, %;6.5
Основной расчет;КПД ТЭС нетто, %;32.802
Основной расчет;Удельный расход топлива, г у.т./кВт·ч;374.976

Температурный анализ;Температура, °C;КПД нетто, %;Расход топлива;Теплоотвод
Температурный анализ;-20.0;36.586;336.19;1.14498
Температурный анализ;-15.0;36.705;335.105;1.12944
Температурный анализ;-10.0;36.807;334.18;1.11389
Температурный анализ;-5.0;36.891;333.413;1.09835
Температурный анализ;0.0;36.959;332.802;1.08281
Температурный анализ;5.0;34.476;356.774;1.01546
Температурный анализ;10.0;33.974;362.046;1.00067
Температурный анализ;15.0;33.472;367.477;0.98588
Температурный анализ;20.0;33.137;371.189;0.97602
Температурный анализ;25.0;32.802;374.976;0.96616
Температурный анализ;30.0;31.599;389.25;0.9563
Температурный анализ;35.0;30.414;404.415;0.94644
Температурный анализ;40.0;29.247;420.552;0.93659
